"","Ma","CO2"
"1",0.25,263.4
"2",0.75,263.2
"3",1.25,262.67
"4",1.75,263.61
"5",2.25,265.07
"6",2.75,269.62
"7",3.25,299.97
"8",3.75,323.48
"9",4.25,342.94
"10",4.75,323.45
"11",5.25,388.21
"12",5.75,367.72
"13",6.25,383.09
"14",6.75,394.63
"15",7.25,392.7
"16",7.75,400.26
"17",8.25,385.33
"18",8.75,396.39
"19",9.25,398.68
"20",9.75,407.43
"21",10.25,413.1
"22",10.75,421.95
"23",11.25,422.69
"24",11.75,428.64
"25",12.25,437.06
"26",12.75,440.47
"27",13.25,464.63
"28",13.75,470.51
"29",14.25,510.33
"30",14.75,539.7
"31",15.25,544.34
"32",15.75,525.23
"33",16.25,519.8
"34",16.75,506.33
"35",17.25,465.73
"36",17.75,468.67
"37",18.25,476.63
"38",18.75,467.04
"39",19.25,454.02
"40",19.75,477.7
"41",20.25,495.44
"42",20.75,481.9
"43",21.25,485.37
"44",21.75,515.77
"45",22.25,498.13
"46",22.75,473.61
"47",23.25,481.72
"48",23.75,497.46
"49",24.25,533.31
"50",24.75,535.2
"51",25.25,524.63
"52",25.75,505.05
"53",26.25,505.3
"54",26.75,482.02
"55",27.25,462.07
"56",27.75,456.78
"57",28.25,467.71
"58",28.75,473.76
"59",29.25,471.69
"60",29.75,495.98
"61",30.25,481.36
"62",30.75,464.64
"63",31.25,489.43
"64",31.75,489.56
"65",32.25,485.14
"66",32.75,475.23
"67",33.25,448.9
"68",33.75,523.5
"69",34.25,562.63
"70",34.75,565.44
"71",35.25,571.73
"72",35.75,532.84
"73",36.25,574.96
"74",36.75,577.62
"75",37.25,592.41
"76",37.75,643.71
"77",38.25,662.6
"78",38.75,680.66
"79",39.25,741.6
"80",39.75,766.79
"81",40.25,824.61
"82",40.75,763.09
"83",41.25,840.25
"84",41.75,910.55
"85",42.25,790.09
"86",42.75,868.81
"87",43.25,900.97
"88",43.75,888.58
"89",44.25,844.36
"90",44.75,867.81
"91",45.25,936.21
"92",45.75,1007.46
"93",46.25,1109.05
"94",46.75,1152.62
"95",47.25,1297.18
"96",47.75,1346.79
"97",48.25,1372.16
"98",48.75,1502.96
"99",49.25,1448.23
"100",49.75,1515.64
"101",50.25,1579.25
"102",50.75,1665.58
"103",51.25,1691.65
"104",51.75,1534.6
"105",52.25,1557.01
"106",52.75,1576.84
"107",53.25,1491
"108",53.75,1363.98
"109",54.25,1398.93
"110",54.75,1510.34
"111",55.25,1318.21
"112",55.75,1256.74
"113",56.25,1204.62
"114",56.75,1106.54
"115",57.25,1045.58
"116",57.75,1015.11
"117",58.25,944.91
"118",58.75,931.12
"119",59.25,1049.4
"120",59.75,1055.04
"121",60.25,1180.26
"122",60.75,1175.49
"123",61.25,1147.31
"124",61.75,1163.03
"125",62.25,1143.14
"126",62.75,1034.52
"127",63.25,979.91
"128",63.75,1163.68
"129",64.25,1128.09
"130",64.75,1175.44
"131",65.25,1014
